,intercolumnar distance,upper margin,lower margin,exploitation,row number,modular ratio,interlinear spacing,weight,peak number,monk
36,0.241386,-0.126364,0.417003,0.096091,0.17234,-0.515608,-2.724356,1.342012,0.812439,A
37,-0.252367,0.069915,0.246296,0.52355,0.261718,-0.806282,-0.044076,1.485336,1.093072,E
38,0.327793,-2.426761,0.008017,-0.54498,-0.006417,-0.432558,0.484429,0.070477,0.18881,A
39,0.15498,-0.330495,0.299642,-0.333637,0.082961,-0.723232,0.182426,0.536505,0.095265,F
40,-0.264711,-0.275537,0.384996,1.343918,0.261718,0.356414,0.220177,-0.647699,-1.183175,A
41,0.809204,-0.291239,0.036468,-0.399281,0.976743,-0.640182,-1.32759,-0.172274,1.03071,I
42,0.031541,0.2976,-3.210528,-0.58359,-0.721442,0.397939,0.069175,0.092921,0.095265,A
43,-0.277055,0.030659,0.441898,0.131866,0.0,0.190314,0.069175,0.032986,-0.528364,D
44,-0.215336,0.776522,0.502357,-1.289141,-0.721442,2.29424,0.245343,-0.526178,0.168022,A
45,0.130292,-0.024299,0.246296,0.121006,0.082961,0.14879,0.408929,0.219723,-0.372457,A
46,0.056229,0.533135,0.185837,0.882801,0.261718,0.107265,0.597681,0.792167,0.126447,A
47,-0.240024,-0.424709,0.089814,1.094532,0.261718,1.560634,0.144676,0.39355,0.344717,A
48,-0.06721,-0.275537,0.253409,0.371526,-1.078955,1.311485,0.106925,-0.523926,0.001721,A
49,0.15498,-0.385453,0.381439,0.314237,0.261718,0.14879,-0.044076,0.231431,-0.341275,F
50,0.019197,0.038511,0.0,0.323367,0.0,0.231839,0.031425,0.313558,0.251173,F
51,0.204355,-0.275537,0.360101,-0.278884,0.0,0.024215,0.182426,-0.656668,-0.590727,A
52,-0.00549,0.054213,0.32098,0.804804,0.17234,-0.10036,-0.42158,0.341225,1.498432,X
53,-0.054866,0.179832,0.239183,-1.170087,0.261718,0.14879,0.446679,1.20787,0.687713,E
54,-0.277055,0.038511,0.42056,3.987152,0.17234,-0.141884,-3.177361,1.869684,0.905984,X
55,0.500607,0.140576,0.388552,-0.637358,0.261718,-2.716425,-1.063338,-0.899594,-3.490604,H
56,0.25373,-2.426761,0.352988,-0.05119,-0.095795,-0.557133,-0.232828,0.920134,-0.029461,A
57,-0.277055,-0.251983,-3.203415,1.957926,0.261718,2.308081,0.446679,1.932842,1.68552,X
58,-3.412392,0.148427,0.438342,-1.047781,0.0,-0.183409,-0.38383,1.7177,-0.684271,E
59,0.809204,-0.16562,0.025799,0.712127,0.887365,-1.055431,-1.554093,0.54299,1.623157,I
60,0.364825,-0.149918,0.171611,0.04277,0.261718,-0.307984,0.106925,0.456805,-0.310094,F
61,0.09326,0.148427,0.171611,0.970704,0.17234,2.72333,-2.799857,-1.515043,-1.058449,A
62,-0.770809,-0.110662,0.328093,0.26205,0.17234,0.314889,0.069175,-0.358759,0.469443,D
63,0.006853,0.077766,0.342319,-0.12859,0.261718,-0.349509,-0.081827,0.319732,0.032902,F
64,-0.289399,0.093469,0.402778,-0.087353,0.0,0.231839,0.257927,0.522623,0.095265,E
65,-2.215039,-0.29909,0.352988,0.054854,0.0,1.43606,0.55993,-0.744892,0.001721,A
66,-0.00549,0.486028,0.118265,0.446569,0.261718,-0.141884,0.55993,0.293774,0.282354,G
67,0.031541,0.140576,0.399221,-0.817372,0.261718,-0.640182,0.446679,0.80236,0.750076,H
68,0.47592,-0.283388,0.107596,0.080127,0.976743,-1.22153,-1.25209,-0.519635,1.46725,I
69,0.142636,-1.916434,-0.023991,-0.504341,0.261718,0.480988,0.333428,0.893788,0.531806,A
70,0.130292,-0.212727,0.324537,0.386474,0.261718,0.439463,0.144676,-0.650786,-0.154186,F
71,-3.498799,0.486028,0.139604,-5.440122,-0.006417,0.14879,0.635431,0.038073,-2.430434,A
72,0.31545,0.517433,-0.002652,-2.543473,0.261718,-1.055431,0.031425,0.197415,-0.278912,F
73,0.056229,-0.087108,0.089814,1.312409,0.0,-0.930856,0.0,-1.857317,-1.869167,A
74,-2.215039,-0.173471,3.941399,-1.56941,0.0,-3.173198,0.0,2.59782,-3.303515,A
75,0.15498,0.140576,0.228514,0.766134,0.0,0.813187,0.52218,0.069293,-0.247731,A
76,0.229043,-0.016448,0.317424,-0.526838,0.261718,-0.474083,0.333428,-0.716527,0.001721,F
77,-3.498799,0.203385,0.95402,-2.222565,0.0,-1.802878,-3.290612,-1.65231,-2.492797,A
78,-3.498799,0.745117,0.150273,0.685183,0.0,-0.349509,0.52218,1.299725,-2.305708,A
79,-0.017834,0.336855,0.235627,-0.511144,-0.81082,0.688613,0.673182,-1.170167,-0.43482,G
80,-0.16596,-0.267686,0.256965,0.051662,0.261718,0.522513,-1.214339,-1.151082,-0.933723,A
81,0.562327,-0.000745,-3.210528,-2.832246,0.261718,-0.474083,0.371178,-0.288941,-0.154186,A
82,0.043885,0.274046,0.182281,0.095763,0.261718,2.432656,0.295677,-2.03524,-1.557353,F
83,0.130292,-1.649494,-3.210528,-2.636061,0.0,0.231839,0.673182,-1.340324,-2.33689,A
84,-0.881904,-1.947839,0.217845,2.046336,0.17234,1.519109,1.352689,-0.082419,1.872609,X
85,0.15498,-0.236281,0.01513,0.558909,0.17234,0.480988,-0.006326,0.330799,0.219991,A
86,0.512951,-0.306942,0.061363,1.371548,0.976743,-0.723232,-1.25209,0.870372,1.093072,I
87,-0.00549,-0.259834,0.367214,-0.156667,0.261718,-0.432558,-0.34608,0.103755,0.064084,F
88,0.019197,0.038511,0.19295,0.323367,0.261718,0.273364,0.106925,-0.216735,-0.091823,F
89,-2.449572,0.0,0.352988,0.048976,0.0,-0.930856,0.295677,2.7333,-2.866974,A
90,-0.141273,0.729415,0.079145,0.151709,0.261718,-0.349509,0.295677,0.269757,0.032902,F
91,-0.696746,-0.055704,-3.210528,0.628849,0.261718,0.356414,-0.157328,1.036763,0.064084,W
92,-0.06721,-0.43256,-3.210528,-0.875108,0.17234,-0.01731,-0.157328,-1.053461,-0.091823,A
93,0.09326,0.423218,0.022242,-0.203782,0.082961,0.813187,-0.157328,-0.724623,-1.245538,A
94,0.241386,-0.126364,0.417003,0.096091,0.0,0.605563,0.597681,0.377648,0.594169,A
95,-0.128929,-0.409007,0.175168,-0.256565,0.082961,0.564038,0.899684,1.312248,0.750076,E
96,-0.301743,-0.055704,0.210732,-0.147477,0.261718,1.602159,0.182426,-1.842756,-0.964905,E
97,-0.104241,-0.079257,0.011573,0.220903,0.261718,0.605563,1.012935,0.165186,0.282354,A
98,-0.215336,0.281897,0.107596,0.73922,0.082961,0.190314,-0.006326,0.359747,0.687713,E
99,0.105604,0.556689,-0.031104,0.619301,0.17234,-0.224934,0.144676,0.920348,0.282354,A
100,0.401857,-0.29909,0.328093,0.432395,0.0,0.273364,0.333428,0.692139,-0.185368,A
101,-0.314087,0.540986,-0.041773,0.882562,0.261718,0.937762,0.069175,0.191299,0.001721,F
102,-0.16596,0.007106,-2.172058,-0.165858,0.261718,0.107265,-0.006326,1.698051,0.874802,E
103,-0.202992,-0.377602,0.434785,0.244803,-0.721442,-1.096956,0.031425,2.137228,1.061891,E
104,0.47592,-0.283388,0.107596,0.080127,0.976743,-1.636779,-1.063338,-0.712954,0.62535,I
105,0.031541,-0.118513,0.374326,-0.066706,0.261718,0.14879,0.220177,0.681674,0.500624,A
106,0.167323,0.148427,0.278304,-0.289596,0.261718,-0.806282,0.635431,0.265815,0.594169,H
107,0.019197,-0.338346,-0.358293,-0.113223,0.17234,3.346203,0.295677,-1.752455,-1.775623,A
108,0.229043,-0.22843,0.324537,-0.869141,0.261718,-1.055431,0.257927,-0.259993,0.001721,F
109,0.031541,0.140576,0.399221,-0.817372,0.261718,-0.183409,0.371178,0.477948,0.40708,H
110,0.043885,0.007106,1.348781,-1.249397,-0.185173,-0.557133,-0.044076,2.353166,0.438262,E
111,-0.252367,-0.110662,0.452567,0.888321,0.17234,1.26996,0.257927,-0.635661,-0.278912,D
112,-0.178304,-0.189174,0.264078,-0.640492,0.17234,1.145386,0.106925,-1.203678,-1.276719,A
113,-0.363462,-0.189174,0.641057,0.681245,0.17234,0.107265,-0.006326,0.672646,0.594169,C
114,0.080916,0.313302,0.079145,0.588985,0.261718,0.522513,0.144676,-0.318084,-0.341275,F
115,-0.363462,0.23479,0.000904,0.759778,0.261718,0.024215,0.55993,0.463115,0.531806,G
116,1.130144,-0.087108,-0.002652,-0.479635,0.082961,-0.474083,0.371178,0.431915,-0.715453,A
117,0.142636,-0.377602,0.328093,-0.039583,0.261718,0.190314,0.597681,-0.823408,-0.746634,F
118,-0.264711,-0.09496,0.01513,-0.597346,0.261718,0.273364,0.710932,-1.110465,-0.43482,E
119,-0.054866,0.580242,0.032912,-0.016668,0.261718,0.854712,0.031425,0.445486,0.219991,A
120,-0.017834,-0.22843,0.37077,1.293671,0.17234,0.522513,0.106925,0.870062,2.028517,X
121,0.759828,-1.304042,-0.023991,-0.973663,-0.006417,0.813187,-2.2336,1.136616,1.903791,I
122,0.15498,-0.189174,0.246296,-1.223587,0.0,0.896237,0.106925,1.306287,0.126447,A
123,0.117948,-0.291239,0.306755,0.255993,0.17234,0.813187,0.371178,-0.526178,0.219991,A
124,-0.00549,-0.660245,0.345875,-0.270589,0.261718,1.145386,0.144676,-1.140287,-0.278912,A
125,0.303106,0.352558,0.082701,0.703981,0.261718,-0.349509,0.220177,0.597314,-0.185368,F
126,0.229043,-0.008597,0.175168,0.087408,0.17234,-0.723232,0.106925,0.031724,-0.310094,A
127,-0.240024,-0.534626,0.075589,-0.617039,0.17234,3.097054,0.295677,-1.552573,-1.744441,E
128,-0.091897,0.344707,0.182281,0.722749,0.261718,1.35301,-0.006326,-0.943163,0.313536,H
129,-0.22768,-0.997846,0.356544,-0.026932,0.0,1.311485,0.446679,-1.220764,-0.715453,D
130,0.352481,-0.448263,0.196506,-0.528002,0.976743,-0.681707,-1.893847,-0.547574,0.687713,I
131,0.080916,-0.244132,0.214288,-0.37914,0.261718,0.439463,1.805694,0.507013,0.313536,F
132,-0.202992,-0.000745,-3.210528,-0.527256,0.082961,0.771662,0.408929,0.197571,0.126447,D
133,0.15498,-0.16562,-3.210528,-1.32068,-0.185173,-0.307984,0.484429,0.340506,0.157628,A
134,0.130292,-0.157769,0.577041,-0.670986,0.17234,-0.847807,0.55993,0.543903,0.594169,C
135,0.229043,-0.354049,0.182281,0.210878,0.261718,0.564038,0.484429,-0.019785,-0.091823,A
136,-0.00549,-0.283388,0.214288,-2.421913,0.0,-1.553729,-2.799857,-2.613392,-1.588534,A
137,0.364825,-0.047852,-0.038216,0.327813,0.261718,-0.307984,0.182426,0.860742,0.095265,A
138,0.377169,0.014957,0.381439,0.292753,0.261718,-0.930856,0.220177,1.368572,1.217798,H
139,-0.030178,0.572391,5.083004,-0.109553,0.0,0.314889,0.333428,0.892894,0.344717,G
140,0.031541,0.2976,-3.210528,-0.58359,-0.721442,0.799346,1.302355,-0.207338,0.334323,A
141,0.117948,-0.29909,0.473906,-0.204438,0.082961,0.231839,0.635431,-0.302124,0.126447,A
142,0.142636,-0.369751,0.413447,0.301347,0.17234,-0.224934,0.333428,0.558192,-0.247731,F
143,-0.252367,0.069915,0.246296,0.52355,0.261718,1.103861,1.654692,0.473716,1.061891,E
144,-0.00549,0.054213,0.32098,0.804804,0.17234,-0.01731,0.786433,0.732232,1.747883,X
145,0.117948,0.289748,0.392108,-1.747095,0.261718,1.186911,0.144676,0.573996,-0.590727,A
146,-0.22768,-0.503221,0.406334,-0.671732,0.261718,-0.224934,0.484429,0.596634,0.251173,E
147,-0.202992,-0.479668,-3.210528,-0.88764,0.261718,-0.723232,-0.534832,-1.009097,0.469443,D
148,0.47592,-0.338346,0.047137,-0.000972,0.976743,-0.01731,-0.874585,-0.817389,0.812439,I
149,0.105604,-0.149918,0.438342,0.934659,0.261718,0.06574,0.371178,-1.324733,-1.93153,A
150,0.080916,0.014957,0.064919,0.346104,0.17234,0.522513,0.408929,0.030715,0.064084,A
151,-0.363462,-0.008597,0.256965,-0.22634,0.261718,0.937762,-0.270579,1.495568,1.280161,E
152,-0.128929,0.705861,0.413447,2.004055,0.61923,2.225032,-1.629594,0.235741,0.344717,Y
153,0.241386,-0.322644,0.28186,0.274612,0.261718,-0.806282,0.597681,1.027948,0.375899,F
154,-0.128929,0.383963,0.23207,1.248675,0.261718,1.311485,0.371178,0.037179,-0.559546,A
155,-0.00549,-0.220579,-3.210528,1.071885,0.261718,0.688613,0.408929,0.032074,0.0,A
156,0.031541,0.140576,0.399221,-0.817372,0.261718,-1.30458,1.503691,0.240052,1.24898,H
157,-0.030178,-0.189174,0.242739,-0.408799,0.261718,-1.22153,-0.044076,-0.831252,-0.154186,F
158,0.266074,0.556689,-0.020434,0.176624,0.261718,-0.557133,0.408929,0.467308,0.562987,G
159,-0.215336,-1.296191,0.491688,1.050073,0.61923,-1.470679,-1.516343,-0.220132,0.219991,X
160,0.130292,0.077766,-0.045329,0.285383,-0.095795,1.311485,0.635431,0.256244,0.095265,A
161,-0.104241,-0.079257,0.011573,0.220903,0.261718,-0.723232,1.050686,0.154565,-0.372457,A
162,-2.573011,0.069915,0.246296,-3.018853,0.082961,-2.052027,0.371178,0.529147,-3.241152,H
163,-0.104241,-0.197025,0.221401,0.17367,0.261718,0.854712,-0.119577,-0.536352,-0.247731,F
164,0.080916,-0.244132,0.45968,0.426726,0.0,0.356414,0.748682,0.14177,0.251173,A
165,-2.523635,-0.346197,-2.349878,-0.775688,0.17234,-0.10036,0.182426,0.617506,-0.091823,F
166,0.401857,-0.220579,-3.210528,-1.185513,0.0,-0.224934,0.55993,-0.137753,0.282354,A
167,0.809204,-0.09496,0.118265,0.987502,0.976743,-1.013906,-1.214339,-2.237044,-1.027268,I
168,-0.042522,-0.416858,0.569929,-2.224653,0.082961,2.972479,0.408929,-0.707945,-0.621908,D
169,0.377169,-0.079257,0.153829,-1.102952,0.261718,-0.266459,0.106925,0.886448,-0.715453,A
170,0.043885,0.195534,0.260522,-0.393821,0.261718,0.522513,0.220177,-0.08141,0.344717,G
171,-0.338774,-0.267686,0.441898,0.616019,0.440474,-0.972381,-1.214339,0.949374,2.808053,X
172,0.809204,-0.09496,0.118265,0.987502,0.976743,-0.806282,-1.32759,1.081263,1.436069,I
173,0.006853,-0.668096,0.477462,1.62168,0.17234,2.308081,0.446679,-0.058655,-0.278912,A
174,-0.042522,-0.3619,0.470349,-0.310721,0.261718,-0.681707,0.106925,-0.386368,-0.715453,F
175,-0.22768,-0.997846,0.356544,-0.026932,0.261718,1.768258,0.748682,-1.680171,-0.621908,D
176,-0.240024,0.117022,0.235627,0.902912,0.17234,-0.01731,0.257927,1.136519,1.124254,E
177,0.266074,0.580242,0.114709,-0.165469,0.261718,-0.058835,0.446679,-0.545749,-0.278912,A
178,0.562327,-0.000745,-3.210528,-2.832246,0.261718,-0.349509,0.220177,1.004941,0.282354,A
179,-0.289399,0.093469,0.402778,-0.087353,0.0,0.06574,0.484429,0.579103,0.313536,E
180,0.15498,-0.471816,0.50947,1.205082,0.261718,0.231839,0.55993,0.618166,-0.372457,A
181,0.080916,-0.071406,0.160942,1.225521,0.0,-0.515608,0.144676,0.713341,0.064084,A
182,-0.202992,-0.016448,0.594823,-1.581822,0.0,-1.263055,0.484429,0.915358,0.843621,E
183,0.192011,-0.03215,0.452567,-0.877078,0.261718,-0.640182,0.408929,-1.567834,-0.559546,A
184,0.661077,-0.204876,-3.075385,0.471036,1.066121,0.024215,-1.25209,0.689285,2.059698,I
185,-0.38815,0.321153,0.107596,0.886232,0.351096,0.771662,0.408929,0.503946,-0.060642,F
186,0.438888,0.289748,0.14316,-0.282494,0.261718,-0.307984,0.371178,-0.349206,0.18881,A
187,0.142636,-0.448263,0.438342,0.978909,0.261718,1.643684,-0.044076,-0.621721,-0.43482,F
188,-0.264711,-0.275537,0.384996,1.343918,0.261718,0.688613,0.144676,-0.144762,-1.463808,A
189,0.278418,-0.197025,0.239183,-0.73839,0.261718,0.854712,0.635431,-1.484037,-0.216549,F
190,0.266074,0.556689,-0.020434,0.176624,0.261718,-0.847807,0.446679,1.085185,0.594169,G
191,3.265629,-0.251983,0.125378,-2.12386,0.976743,-1.595254,-1.25209,1.397909,0.812439,I
192,-0.054866,0.203385,0.05425,-0.028782,0.261718,1.394535,0.144676,-0.847871,-0.091823,G
193,0.327793,-2.426761,0.008017,-0.54498,-0.006417,0.107265,0.182426,-0.199921,0.282354,A
194,-0.054866,0.226939,0.32098,-0.905841,0.261718,0.605563,0.861934,-1.990682,-0.715453,H
195,0.229043,0.807926,-0.052442,0.082634,0.261718,-0.764757,0.371178,0.497286,-0.091823,F
196,0.043885,0.007106,1.348781,-1.249397,0.0,-1.22153,0.220177,1.693236,-0.185368,E
197,4.524702,-0.134216,0.23207,-2.514351,-0.900198,-0.640182,0.220177,-0.649893,-0.840179,F
198,-0.511588,-0.620989,0.491688,-2.053711,-0.006417,3.429252,-0.308329,-1.18768,-1.93153,D
199,-0.215336,0.250492,0.473906,1.187089,0.17234,1.186911,2.409701,-0.555651,1.124254,X
200,0.364825,-0.000745,0.0,1.293223,0.0,-0.224934,-0.950086,0.614652,2.153242,I
201,-0.338774,-0.291239,0.520139,1.054429,0.261718,-0.10036,-0.270579,1.123219,0.219991,E
202,-0.153617,-0.22843,0.488131,0.580183,0.261718,0.480988,0.333428,1.022085,0.032902,A
203,-0.301743,-0.314793,0.399221,0.77052,0.708609,0.564038,-1.32759,-0.14383,0.874802,Y
204,-0.338774,-0.291239,0.520139,1.054429,0.261718,1.26996,0.257927,0.264981,0.438262,E
205,0.142636,0.486028,0.100483,-0.448543,0.0,0.231839,0.220177,0.028909,0.469443,A
206,0.056229,-0.291239,0.239183,0.767954,0.17234,0.688613,0.069175,0.172253,-0.029461,A
207,-3.498799,0.0,-3.210528,0.06482,0.0,-0.391033,0.144676,1.341934,-1.027268,A
208,0.290762,-0.181323,0.441898,-1.339925,0.261718,-0.515608,0.182426,-0.677133,0.064084,F
209,-0.042522,0.140576,0.089814,0.07231,0.261718,1.394535,0.257927,-2.150743,-1.49499,A
210,0.080916,-0.071406,0.160942,1.225521,0.17234,-0.266459,-3.13961,0.619525,0.500624,A
211,0.352481,-0.448263,0.196506,-0.528002,0.976743,-0.349509,-0.950086,-0.820535,0.843621,I
212,0.167323,-0.322644,0.306755,-0.543548,0.261718,-0.764757,0.106925,-0.03922,-0.247731,F
213,-3.498799,0.674456,0.210732,-1.548822,0.0,-0.432558,0.52218,0.411994,-0.029461,A
214,0.216699,0.124874,-3.210528,-0.886924,0.261718,-0.141884,0.408929,0.375318,0.157628,A
215,0.043885,0.030659,0.537921,-2.244735,0.261718,-1.595254,0.257927,-2.031474,-0.933723,E
216,-0.054866,0.0,0.32098,-0.905841,0.261718,0.854712,0.786433,-2.238791,-1.837986,H
217,-3.498799,-0.754459,0.477462,1.600496,0.0,0.730137,0.710932,0.499732,-0.87136,X
218,0.068573,-0.016448,0.274747,-0.03633,0.0,-0.598658,0.182426,-0.128298,0.687713,H
219,0.290762,0.156278,0.136047,1.401386,0.082961,-0.224934,-0.044076,0.668239,0.001721,A
220,0.068573,0.226939,0.01513,-0.609818,-1.078955,1.020811,0.333428,-0.809875,-0.216549,A
221,0.080916,-0.291239,0.356544,0.226662,0.261718,-0.723232,0.333428,-0.245878,-0.808997,F
222,0.179667,-0.212727,0.132491,-1.306507,0.261718,0.397939,0.673182,0.852413,0.375899,A
223,0.080916,0.203385,0.310311,0.26951,0.0,-0.183409,0.257927,0.590208,0.126447,H
224,0.130292,-0.157769,0.577041,-0.670986,0.17234,-0.806282,0.333428,-1.029658,-0.777816,C
225,0.031541,-0.118513,0.374326,-0.066706,0.261718,0.439463,0.144676,-0.616323,0.438262,A
226,0.229043,-0.181323,0.23207,-0.893459,0.261718,-1.180006,-0.119577,0.212948,0.375899,F
227,0.117948,0.23479,0.050694,0.220456,0.261718,-0.515608,0.333428,-0.493521,-0.621908,A
228,0.130292,-0.314793,0.417003,1.051058,0.082961,1.685209,0.937434,0.015434,-0.060642,A
229,-0.042522,-0.3619,0.470349,-0.310721,0.261718,-1.096956,-0.119577,0.506528,0.251173,F
230,-0.252367,-0.063555,0.594823,0.891245,0.529852,0.480988,-3.479364,1.002882,2.465057,X
231,-0.06721,0.336855,0.221401,-0.311258,0.261718,0.896237,0.031425,-0.258769,-0.123005,G
232,-0.00549,0.611647,0.022242,1.012179,0.261718,0.231839,0.484429,1.097008,0.219991,A
233,0.4142,-0.471816,0.239183,1.018385,0.887365,-1.38763,-1.176589,-2.021009,-2.149801,I
234,-0.190648,-0.691649,0.28186,-0.194472,0.17234,-0.10036,0.408929,0.136742,1.24898,E
235,0.266074,0.211237,0.114709,0.937882,0.261718,1.228436,0.371178,0.889069,-0.372457,A
236,-0.128929,0.069915,0.313868,0.510511,0.082961,0.854712,0.371178,-0.151053,0.313536,H
237,0.241386,-0.322644,0.310311,0.49055,0.0,0.397939,0.408929,0.538214,-0.060642,A
238,-0.635027,-0.448263,0.299642,1.407861,0.17234,0.356414,-1.591843,0.95914,1.716702,Y
239,0.179667,-0.173471,0.121822,-1.139205,0.17234,-1.138481,0.144676,-1.026357,-0.528364,A
240,-0.06721,0.336855,0.221401,-0.311258,0.261718,-0.557133,0.295677,0.959489,0.313536,G
241,-0.116585,0.203385,5.49199,1.852806,0.0,2.017408,0.106925,0.043005,-0.154186,A
242,-0.104241,-0.456114,0.484575,0.143802,0.261718,-0.058835,0.220177,-0.083953,-0.87136,F
243,-0.462213,0.352558,0.150273,0.56049,0.261718,1.394535,-0.044076,-0.5075,0.032902,E
244,0.340137,0.399665,0.207175,-0.724993,0.261718,-0.847807,-0.006326,-0.547204,0.157628,A
245,0.080916,-0.244132,0.214288,-0.37914,0.0,0.024215,0.55993,-0.818224,-0.964905,F
246,0.142636,-0.142067,0.246296,0.789259,0.0,1.228436,0.673182,0.346234,-0.029461,A
247,0.117948,-0.212727,0.23207,0.807221,-1.078955,-0.01731,0.484429,-0.692199,-1.401445,A
248,-0.141273,1.553789,0.541477,-0.649324,0.0,1.311485,-0.157328,0.333867,0.126447,D
249,-0.091897,-0.118513,0.189393,1.280303,0.261718,0.813187,0.069175,0.254399,-1.058449,A
250,-0.437525,0.423218,0.388552,0.620852,0.17234,-0.640182,0.257927,1.156245,0.438262,E
251,0.229043,-0.22843,0.324537,-0.869141,0.261718,-0.972381,0.106925,-0.408171,0.095265,F
252,0.167323,0.117022,0.047137,-0.174809,0.261718,0.647088,0.257927,-0.848726,-0.466001,A
253,0.0,-0.220579,-3.210528,-2.624155,0.0,0.522513,0.484429,-1.701781,-1.245538,A
254,-0.017834,-0.330495,0.488131,-0.183313,0.17234,-0.972381,-0.044076,-0.627798,-0.590727,F
255,0.117948,0.627349,0.075589,0.831628,0.261718,1.477585,0.408929,-0.224326,-0.091823,A
256,-3.498799,0.0,0.384996,1.655159,0.0,-1.802878,-2.535604,3.557736,-3.895963,E
257,-0.240024,-0.29909,0.694403,0.955725,0.61923,-0.349509,-1.25209,1.68778,1.404887,Y
258,0.303106,0.022808,0.146717,-1.815842,0.261718,-0.681707,0.257927,-1.252469,-0.403638,A
259,0.068573,0.289748,0.107596,1.267115,0.261718,1.103861,0.069175,1.3198,-0.247731,A
260,0.179667,2.660806,0.096927,-1.474226,-0.006417,-0.598658,0.597681,0.802826,0.687713,G
261,-0.560964,0.329004,0.296086,0.755571,0.261718,-0.432558,-0.119577,1.540262,0.812439,E
262,0.216699,0.2976,0.249852,-0.041313,0.261718,-0.806282,-0.044076,0.760889,0.531806,A
263,0.142636,-0.244132,-3.206971,0.165524,0.887365,1.145386,-1.063338,0.290726,0.687713,I
264,0.09326,-0.055704,0.068476,0.305076,0.261718,1.394535,1.012935,0.10859,-0.091823,A
265,0.019197,0.525284,0.068476,0.166658,0.261718,-0.349509,0.144676,0.166505,0.18881,F
